ID,price
845,2289648.6264469465
1924,1040919.0908097642
10718,1236583.0357690037
12076,8917180.592877941
12254,1815360.9028074853
9950,2988226.0529641644
1548,2500396.307428886
526,1156167.503283714
6776,967227.5235855848
1851,1403527.245417011
9188,1876102.2426672021
3382,3027206.9469023286
242,2529084.615600944
6439,1770936.8752374835
1561,2615203.3352273
5339,2366273.703662137
7387,2246083.5991280708
11576,1808980.4011142815
5984,4758265.767426414
4486,1777007.4313343875
2205,928579.3777439025
3468,1291839.534276091
4226,2271328.032913649
2088,2386392.914115173
2118,2766645.681030026
8036,1512179.5689278075
23,1242783.9188061533
1898,1964622.9198156581
6976,2156400.748386133
1465,3247315.794045766
2040,1352108.3132873871
482,1140967.065400839
5122,1797231.030987406
3447,1164069.9919832288
12877,2569108.94510497
3780,1320937.3098533927
1285,1669053.3529689645
9200,1945272.750614173
921,2178824.8908117553
3060,2737416.819335569
1082,1054755.5893013652
71,1876501.0458162597
4464,1684518.4808149205
4576,3540628.778473618
897,2955179.7253717785
1756,873430.4920673232
8745,2384910.954384556
806,1514699.3324882307
803,1435485.7348085972
7613,1472912.7076013624
243,1281523.677698818
8135,1340785.669425267
1527,2107370.7906856537
2825,1281298.4306840776
666,1096499.9026832508
12028,1503693.9860573043
2308,1982706.6950980264
11223,1428846.0136368985
1479,843468.5052418392
2057,2333329.7354486985
2368,1054780.274461842
7638,2620989.7595341797
432,2295821.0040624435
9800,1275398.6983571944
2140,3303294.566969639
837,1921032.128324827
3227,1986705.4099608846
12412,2113051.690932155
10267,1320335.4234656645
3850,3182527.0858812933
382,4283875.97475797
1280,2346517.547617319
2226,4649792.252518977
4166,3151375.5858931243
5208,2940820.791802733
4513,2162789.07605164
10814,3066609.940112973
3120,2811570.153865249
7915,1903071.5856519875
3513,2367529.1257954068
9041,1264432.101579271
561,1265082.8699332909
11041,2942645.689279792
2920,2718270.5597062027
2042,1013393.7741473614
10220,1795686.7715286836
11511,1739199.1710776952
8424,2971882.5823047757
5801,3097374.2568258955
10746,1251634.6654499832
11018,1142878.4100293939
816,604780.921913987
10413,1594384.8051068087
4471,2845402.421006449
1928,2035142.2163084254
323,1730752.7398351133
11548,3048202.1915241554
12564,2611920.3131829533
5817,3394417.2277003634
1030,1300061.6855456887
3888,1811550.0927148953
2427,2003764.783862423
5378,1875172.3155132758
3701,1627988.7389611364
4536,1509245.677252752
3799,2365314.88972939
9431,2246723.773880028
10878,1241544.953219471
2028,879334.0877497981
5598,2206092.444915531
5828,6376562.345680143
2842,2080396.0036501512
279,2134797.858960476
4812,2067198.6636733713
11406,2048850.05970053
1086,1395190.9105546742
2696,1185111.7735355648
9220,1109868.663306192
1496,1124917.7737494893
3737,1245446.405628433
12211,3538151.5927448547
1556,1905700.097246873
1066,1271775.7682486882
1836,1111281.666507287
10913,1094520.6116131125
1868,1443985.8877627067
12610,3563630.524036636
12146,1651090.9975987615
2087,1486990.3849683201
2916,2818159.6587808775
10188,2876129.280353071
3253,1507789.117900849
9082,2245308.825177601
12493,1270451.9312556917
5898,3491410.3580389605
8409,2103568.539899403
5885,2044382.1329709054
1101,942248.5863852942
10071,2053216.846004128
11403,4875411.454865409
728,1245253.6467840767
11647,3825997.7679724065
